Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
3,60380,60359,60364,60363.2,60439.5
4,60560,60545.2,60551.1,60551.7,60630.6
5,60760,60731.5,60738.2,60740.1,60821.7
6,60910,60917.8,60925.3,60928.6,61012.8
7,61100,61104.1,61112.5,61117,61203.9
8,61280,61290.4,61299.6,61305.5,61395
9,61470,61476.7,61486.7,61494,61586.1
10,61660,61662.9,61673.9,61682.4,61777.2
11,61840,61849.2,61861,61870.9,61968.3
12,62100,62035.5,62048.1,62059.3,62159.4
1,62450,62431,62415.9,62395.2,62541.7
2,62640,62616.5,62602.8,62583.6,62732.8
3,62830,62801.9,62789.7,62772,62923.9
4,62980,62987.4,62976.6,62960.4,63115
5,63170,63172.8,63163.5,63148.8,63306.1
6,63340,63358.3,63350.4,63337.1,63497.2
7,63530,63543.7,63537.3,63525.5,63688.3
8,63710,63729.2,63724.2,63713.9,63879.4
9,63890,63914.6,63911.1,63902.3,64070.5
10,64090,64100.1,64098,64090.7,64261.6
11,64290,64285.5,64284.9,64279.1,64452.7
12,64480,64470.9,64471.8,64467.5,64643.8
1,64500,64656.4,64658.7,64655.9,64834.9
2,64850,64841.8,64845.6,64844.2,65026
3,65060,65027.3,65032.6,65032.6,65217.1
4,65230,65212.7,65219.5,65221,65408.2
5,65430,65398.2,65406.4,65409.4,65599.3
6,65580,65583.6,65593.3,65597.8,65790.4
7,65760,65769.1,65780.2,65786.2,65981.6
8,65950,65954.5,65967.1,65974.6,66172.7
9,66140,66140,66154,66163,66363.8
10,66320,66325.4,66340.9,66351.4,66554.9
11,66510,66510.9,66527.8,66539.7,66746
12,66750,66696.3,66714.7,66728.1,66937.1
1,67100,67096.4,67087.8,67057.8,67319.3
2,67310,67282.6,67274.7,67247.3,67510.4
3,67480,67468.8,67461.6,67436.8,67701.5
4,67690,67655,67648.5,67626.2,67892.6
5,67800,67841.2,67835.3,67815.7,68083.7
6,68010,68027.3,68022.2,68005.2,68274.8
7,68210,68213.5,68209.1,68194.6,68465.9
8,68400,68399.7,68396,68384.1,68657
9,68550,68585.9,68582.8,68573.5,68848.1
10,68720,68772.1,68769.7,68763,69039.2
11,68930,68958.2,68956.6,68952.5,69230.3
12,69150,69144.4,69143.5,69141.9,69421.5
1,69320,69330.6,69330.3,69331.4,69612.6
2,69540,69516.8,69517.2,69520.9,69803.7
3,69730,69703,69704.1,69710.3,69994.8
4,69890,69889.1,69891,69899.8,70185.9
5,70100,70075.3,70077.9,70089.3,70377
6,70260,70261.5,70264.7,70278.7,70568.1
7,70440,70447.7,70451.6,70468.2,70759.2
8,70630,70633.9,70638.5,70657.6,70950.3
9,70810,70820,70825.4,70847.1,71141.4
10,71000,71006.2,71012.2,71036.6,71332.5
11,71170,71192.4,71199.1,71226,71523.6
12,71440,71378.6,71386,71415.5,71714.7
2,71810,71791.8,71784.9,71768.6,72096.9
1,72000,71980,71972.5,71959.1,72288
3,72170,72168.3,72160.1,72149.6,72479.1
5,72360,72356.5,72347.7,72340.1,72670.2
4,72560,72544.8,72535.3,72530.7,72861.4
7,72750,72733.1,72722.9,72721.2,73052.5
6,72920,72921.3,72910.5,72911.7,73243.6
9,73110,73109.6,73098.2,73102.2,73434.7
8,73280,73297.8,73285.8,73292.8,73625.8
11,73450,73486.1,73473.4,73483.3,73816.9
10,73650,73674.4,73661,73673.8,74008
12,73870,73862.6,73848.6,73864.3,74199.1
2,74070,74050.9,74036.2,74054.8,74390.2
3,74270,74239.1,74223.8,74245.4,74581.3
1,74440,74427.4,74411.4,74435.9,74772.4
4,74630,74615.6,74599,74626.4,74963.5
5,74800,74803.9,74786.6,74816.9,75154.6
6,74970,74992.2,74974.2,75007.5,75345.7
7,75180,75180.4,75161.8,75198,75536.8
8,75360,75368.7,75349.4,75388.5,75727.9
9,75580,75556.9,75537,75579,75919
10,75730,75745.2,75724.6,75769.5,76110.1
11,75910,75933.5,75912.2,75960.1,76301.3
12,76160,76121.7,76099.8,76150.6,76492.4
3,76550,76522.7,76502,76500.7,76874.6
2,76730,76711,76690.4,76690.8,77065.7
4,76950,76899.2,76878.8,76881,77256.8
1,77080,77087.5,77067.1,77071.1,77447.9
6,77260,77275.7,77255.5,77261.2,77639
5,77450,77464,77443.9,77451.3,77830.1
8,77620,77652.2,77632.2,77641.4,78021.2
7,77810,77840.5,77820.6,77831.5,78212.3
9,78020,78028.7,78009,78021.7,78403.4
11,78180,78217,78197.3,78211.8,78594.5
10,78420,78405.2,78385.7,78401.9,78785.6
12,78540,78593.5,78574.1,78592,78976.7
2,78780,78781.7,78762.4,78782.1,79167.8
3,78990,78969.9,78950.8,78972.3,79358.9
4,79180,79158.2,79139.2,79162.4,79550
6,79320,79346.4,79327.5,79352.5,79741.2
